,Name,Author,Rating,Enrollment,Difficulty,URL
0,Machine Learning,Stanford University,4.9,3.6m,Mixed,"https://www.coursera.org/learn/machine-learning, /learn/machine-learning"
1,Indigenous Canada,University of Alberta,4.8,170k,Mixed,"https://www.coursera.org/learn/indigenous-canada, /learn/indigenous-canada"
2,The Science of Well-Being,Yale University,4.9,3m,Mixed,"https://www.coursera.org/learn/the-science-of-well-being, /learn/the-science-of-well-being"
3,Financial Markets,Yale University,4.8,700k,Beginner,"https://www.coursera.org/learn/financial-markets-global, /learn/financial-markets-global"
4,Introduction to Psychology,Yale University,4.8,440k,Beginner,"https://www.coursera.org/learn/introduction-psychology, /learn/introduction-psychology"
5,Psychological First Aid,Johns Hopkins University,4.8,280k,Mixed,"https://www.coursera.org/learn/psychological-first-aid, /learn/psychological-first-aid"
6,Successful Negotiation: Essential Strategies and Skills,University of Michigan,4.8,890k,Mixed,"https://www.coursera.org/learn/negotiation-skills, /learn/negotiation-skills"
7,"Brand Management: Aligning Business, Brand and Behaviour",London Business School,4.9,110k,Beginner,"https://www.coursera.org/learn/brand, /learn/brand"
8,Writing in the Sciences,Stanford University,4.9,180k,Beginner,"https://www.coursera.org/learn/sciwrite, /learn/sciwrite"
9,Stanford Introduction to Food and Health,Stanford University,4.7,450k,Beginner,"https://www.coursera.org/learn/food-and-health, /learn/food-and-health"
10,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,4.9,300k,Mixed,"https://www.coursera.org/learn/negotiation, /learn/negotiation"
11,Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,4.8,2.5m,Mixed,"https://www.coursera.org/learn/learning-how-to-learn, /learn/learning-how-to-learn"
12,Private Equity and Venture Capital,Università Bocconi,4.8,97k,Mixed,"https://www.coursera.org/learn/private-equity, /learn/private-equity"
13,First Step Korean,Yonsei University,4.9,600k,Beginner,"https://www.coursera.org/learn/learn-korean, /learn/learn-korean"
14,Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,4.8,330k,Mixed,"https://www.coursera.org/learn/pap, /learn/pap"
15,Management of Fashion and Luxury Companies,Università Bocconi,4.7,140k,Mixed,"https://www.coursera.org/learn/mafash, /learn/mafash"
16,Design and Interpretation of Clinical Trials,Johns Hopkins University,4.7,81k,Mixed,"https://www.coursera.org/learn/clinical-trials, /learn/clinical-trials"
17,Contabilidad para no contadores,Universidad Nacional Autónoma de México,4.7,290k,Beginner,"https://www.coursera.org/learn/contabilidad, /learn/contabilidad"
18,Social Psychology,Wesleyan University,4.7,330k,Beginner,"https://www.coursera.org/learn/social-psychology, /learn/social-psychology"
19,Introduction to User Experience Design,Georgia Institute of Technology,4.5,120k,Beginner,"https://www.coursera.org/learn/user-experience-design, /learn/user-experience-design"
20,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,4.9,300k,Mixed,https://www.coursera.org/learn/negotiation
21,Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,4.8,2.5m,Mixed,https://www.coursera.org/learn/learning-how-to-learn
22,Private Equity and Venture Capital,Università Bocconi,4.8,97k,Mixed,https://www.coursera.org/learn/private-equity
23,First Step Korean,Yonsei University,4.9,600k,Beginner,https://www.coursera.org/learn/learn-korean
24,Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,4.8,330k,Mixed,https://www.coursera.org/learn/pap
25,Management of Fashion and Luxury Companies,Università Bocconi,4.7,140k,Mixed,https://www.coursera.org/learn/mafash
26,Design and Interpretation of Clinical Trials,Johns Hopkins University,4.7,81k,Mixed,https://www.coursera.org/learn/clinical-trials
27,Contabilidad para no contadores,Universidad Nacional Autónoma de México,4.7,290k,Beginner,https://www.coursera.org/learn/contabilidad
28,Social Psychology,Wesleyan University,4.7,330k,Beginner,https://www.coursera.org/learn/social-psychology
29,Introduction to User Experience Design,Georgia Institute of Technology,4.5,120k,Beginner,https://www.coursera.org/learn/user-experience-design
30,Agile with Atlassian Jira,Atlassian,4.7,58k,Beginner,https://www.coursera.org/learn/agile-atlassian-jira
31,English for Career Development,University of Pennsylvania,4.8,1m,Mixed,https://www.coursera.org/learn/careerdevelopment
32,Game Theory,The University of British Columbia,4.6,290k,Beginner,https://www.coursera.org/learn/game-theory-1
33,Medical Neuroscience,Duke University,4.9,200k,Advanced,https://www.coursera.org/learn/medical-neuroscience
34,Clinical Terminology for International and U.S. Students,University of Pittsburgh,4.8,48k,Beginner,https://www.coursera.org/learn/clinical-terminology
35,Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,4.9,160k,Beginner,https://www.coursera.org/learn/neurobiology
36,Organizational Analysis,Stanford University,4.6,72k,Beginner,https://www.coursera.org/learn/organizational-analysis
37,Child Nutrition and Cooking,Stanford University,4.8,390k,Beginner,https://www.coursera.org/learn/childnutrition
38,Introduction to Psychology,University of Toronto,4.9,300k,Mixed,https://www.coursera.org/learn/introduction-psych
39,International Women's Health and Human Rights,Stanford University,4.9,47k,Beginner,https://www.coursera.org/learn/womens-health-human-rights
40,Global Diplomacy – Diplomacy in the Modern World,University of London,4.7,99k,Mixed,https://www.coursera.org/learn/global-diplomacy
41,Forensic Accounting and Fraud Examination,West Virginia University,4.7,55k,Mixed,https://www.coursera.org/learn/forensic-accounting
42,Managing the Company of the Future,London Business School,4.8,71k,Mixed,https://www.coursera.org/learn/company-future-management
43,Introductory Human Physiology,Duke University,4.7,310k,Mixed,https://www.coursera.org/learn/physiology
44,Moral Foundations of Politics,Yale University,4.9,130k,Mixed,https://www.coursera.org/learn/moral-politics
45,The Strategy of Content Marketing,"University of California, Davis",4.5,160k,Intermediate,https://www.coursera.org/learn/content-marketing
46,Positive Psychiatry and Mental Health,The University of Sydney,4.8,120k,Mixed,https://www.coursera.org/learn/positive-psychiatry
47,Data Science Math Skills,Duke University,4.5,200k,Beginner,https://www.coursera.org/learn/datasciencemathskills
48,Cursos en línea: modelo para armar,Universidad Nacional Autónoma de México,4.8,4.8k,Beginner,https://www.coursera.org/learn/enlinea
49,An Introduction to American Law,University of Pennsylvania,4.8,120k,Beginner,https://www.coursera.org/learn/american-law
50,Animal Behaviour and Welfare,The University of Edinburgh,4.8,88k,Mixed,https://www.coursera.org/learn/animal-welfare
51,Financial Engineering and Risk Management Part I,Columbia University,4.6,350k,Mixed,https://www.coursera.org/learn/financial-engineering-1
52,Learning to Teach Online,UNSW Sydney (The University of New South Wales),4.7,110k,Beginner,https://www.coursera.org/learn/teach-online
53,Étudier en France: French Intermediate course B1-B2,École Polytechnique,4.8,250k,Intermediate,https://www.coursera.org/learn/etudier-en-france
54,Wind Energy,Technical University of Denmark (DTU),4.7,96k,Mixed,https://www.coursera.org/learn/wind-energy
